imd_archive_utc,shram_archive_utc,bulletin_date,target_date,fc_day,met,imd_def,imd_code,imd_min_tier,shram_def,shram_min_zone,a_both_alert,b_imd_only,c_shram_only,d_both_none,n,kappa
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,3,Heat Wave Watch+,9,2,Z>=4,4,67,0,536,5,608,0.002051702913418132
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,3,Heat Wave Watch+,9,2,Z>=5,5,40,27,325,216,608,-0.00126318153322169
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,3,Heat Wave Watch+,9,2,Z>=6,6,0,67,0,541,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,3,Heat Wave Alert+,9,3,Z>=4,4,60,0,543,5,608,0.0018140918656120747
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,3,Heat Wave Alert+,9,3,Z>=5,5,39,21,326,222,608,0.01688723205964588
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,3,Heat Wave Alert+,9,3,Z>=6,6,0,60,0,548,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,3,Heat Wave Warning,9,4,Z>=4,4,3,0,600,5,608,8.223007976317702e-05
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,3,Heat Wave Warning,9,4,Z>=5,5,3,0,362,243,608,0.0065807884308114765
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,3,Heat Wave Warning,9,4,Z>=6,6,0,3,0,605,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,3,Hot Day Watch+,10,2,Z>=4,4,2,0,601,5,608,5.473034359709571e-05
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,3,Hot Day Watch+,10,2,Z>=5,5,2,0,363,243,608,0.00438477778379258
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,3,Hot Day Watch+,10,2,Z>=6,6,0,2,0,606,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,3,Hot Day Alert+,10,3,Z>=4,4,2,0,601,5,608,5.473034359709571e-05
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,3,Hot Day Alert+,10,3,Z>=5,5,2,0,363,243,608,0.00438477778379258
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,3,Hot Day Alert+,10,3,Z>=6,6,0,2,0,606,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,3,Hot Day Warning,10,4,Z>=4,4,0,0,603,5,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,3,Hot Day Warning,10,4,Z>=5,5,0,0,365,243,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,3,Hot Day Warning,10,4,Z>=6,6,0,0,0,608,608,
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,3,Warm Night Watch+,11,2,Z>=4,4,5,0,598,5,608,0.00013750089375580941
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,3,Warm Night Watch+,11,2,Z>=5,5,1,4,364,239,608,-0.010998147395056734
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,3,Warm Night Watch+,11,2,Z>=6,6,0,5,0,603,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,3,Warm Night Alert+,11,3,Z>=4,4,0,0,603,5,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,3,Warm Night Alert+,11,3,Z>=5,5,0,0,365,243,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,3,Warm Night Alert+,11,3,Z>=6,6,0,0,0,608,608,
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,3,Warm Night Warning,11,4,Z>=4,4,0,0,603,5,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,3,Warm Night Warning,11,4,Z>=5,5,0,0,365,243,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,3,Warm Night Warning,11,4,Z>=6,6,0,0,0,608,608,
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,4,Heat Wave Watch+,9,2,Z>=4,4,67,0,540,1,608,0.0004079718925633505
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,4,Heat Wave Watch+,9,2,Z>=5,5,67,0,472,69,608,0.031213076678977263
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,4,Heat Wave Watch+,9,2,Z>=6,6,0,67,0,541,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,4,Heat Wave Alert+,9,3,Z>=4,4,60,0,547,1,608,0.0003606896385889883
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,4,Heat Wave Alert+,9,3,Z>=5,5,60,0,479,69,608,0.02764496914981705
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,4,Heat Wave Alert+,9,3,Z>=6,6,0,60,0,548,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,4,Heat Wave Warning,9,4,Z>=4,4,3,0,604,1,608,1.6338178510937818e-05
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,4,Heat Wave Warning,9,4,Z>=5,5,3,0,536,69,608,0.0012687632929004283
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,4,Heat Wave Warning,9,4,Z>=6,6,0,3,0,605,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,4,Hot Day Watch+,10,2,Z>=4,4,2,0,605,1,608,1.0874174921977691e-05
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,4,Hot Day Watch+,10,2,Z>=5,5,2,0,537,69,608,0.0008446256105174316
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,4,Hot Day Watch+,10,2,Z>=6,6,0,2,0,606,608,0.0
