timestamp_utc,source,city,state,lat,lon,Ta_C,RH_pct,notes
2026-04-24T22:10:56+00:00,shram_map,Angul,Odisha,20.84,85.1,24.0,88.0,"{""cell_lat"": 20.75, ""cell_lon"": 85.0, ""zone_met4_shade"": 4, ""zone_met4_sun"": 4, ""resolution_deg"": 0.25}"
2026-04-24T22:10:56+00:00,shram_map,Bhubaneshwar,Odisha,20.26,85.83,26.1,97.0,"{""cell_lat"": 20.25, ""cell_lon"": 85.75, ""zone_met4_shade"": 5, ""zone_met4_sun"": 5, ""resolution_deg"": 0.25}"
2026-04-24T22:10:56+00:00,shram_map,Cuttack,Odisha,20.46,85.88,26.3,97.0,"{""cell_lat"": 20.5, ""cell_lon"": 86.0, ""zone_met4_shade"": 5, ""zone_met4_sun"": 5, ""resolution_deg"": 0.25}"
2026-04-24T22:10:56+00:00,shram_map,Sambalpur,Odisha,21.47,83.97,26.2,53.0,"{""cell_lat"": 21.5, ""cell_lon"": 84.0, ""zone_met4_shade"": 4, ""zone_met4_sun"": 4, ""resolution_deg"": 0.25}"
2026-04-24T22:10:56+00:00,shram_map,Delhi,Delhi,28.61,77.21,29.9,26.0,"{""cell_lat"": 28.5, ""cell_lon"": 77.25, ""zone_met4_shade"": 4, ""zone_met4_sun"": 4, ""resolution_deg"": 0.25}"
2026-04-24T22:10:56+00:00,shram_map,Lucknow,Uttar Pradesh,26.85,80.95,28.2,26.0,"{""cell_lat"": 26.75, ""cell_lon"": 81.0, ""zone_met4_shade"": 4, ""zone_met4_sun"": 4, ""resolution_deg"": 0.25}"
2026-04-24T22:10:56+00:00,shram_map,Kolkata,West Bengal,22.57,88.36,27.4,94.0,"{""cell_lat"": 22.5, ""cell_lon"": 88.25, ""zone_met4_shade"": 5, ""zone_met4_sun"": 5, ""resolution_deg"": 0.25}"
2026-04-24T22:10:56+00:00,shram_map,Mumbai,Maharashtra,19.08,72.88,28.9,52.0,"{""cell_lat"": 19.0, ""cell_lon"": 73.0, ""zone_met4_shade"": 4, ""zone_met4_sun"": 4, ""resolution_deg"": 0.25}"
2026-04-24T22:10:56+00:00,shram_map,Chennai,Tamil Nadu,13.08,80.27,28.2,87.0,"{""cell_lat"": 13.0, ""cell_lon"": 80.25, ""zone_met4_shade"": 5, ""zone_met4_sun"": 5, ""resolution_deg"": 0.25}"
2026-04-24T22:10:56+00:00,shram_map,Ahmedabad,Gujarat,23.03,72.58,29.6,35.0,"{""cell_lat"": 23.0, ""cell_lon"": 72.5, ""zone_met4_shade"": 4, ""zone_met4_sun"": 4, ""resolution_deg"": 0.25}"
2026-04-24T22:10:56+00:00,shram_map,Nagpur,Maharashtra,21.15,79.09,27.9,28.0,"{""cell_lat"": 21.25, ""cell_lon"": 79.0, ""zone_met4_shade"": 4, ""zone_met4_sun"": 4, ""resolution_deg"": 0.25}"
2026-04-24T22:10:56+00:00,shram_map,Bengaluru,Karnataka,12.97,77.59,25.0,47.0,"{""cell_lat"": 13.0, ""cell_lon"": 77.5, ""zone_met4_shade"": 4, ""zone_met4_sun"": 4, ""resolution_deg"": 0.25}"
2026-04-24T22:10:57+00:00,shram_stations,Angul,Odisha,20.84,85.1,,,no matching shram district
2026-04-24T22:10:57+00:00,shram_stations,Bhubaneshwar,Odisha,20.26,85.83,26.9,88.0,"{""zone_light"": ""Zone 4"", ""zone_hard"": ""Zone 5"", ""station"": ""Bhubaneshwar Airport""}"
2026-04-24T22:10:57+00:00,shram_stations,Cuttack,Odisha,20.46,85.88,,,district not in alerts
2026-04-24T22:10:57+00:00,shram_stations,Sambalpur,Odisha,21.47,83.97,25.6,59.0,"{""zone_light"": ""Zone 4"", ""zone_hard"": ""Zone 4"", ""station"": ""Dhankauda""}"
2026-04-24T22:10:57+00:00,shram_stations,Delhi,Delhi,28.61,77.21,27.0,58.0,"{""zone_light"": ""Zone 4"", ""zone_hard"": ""Zone 5"", ""station"": ""Pharma Science And Research Un""}"
2026-04-24T22:10:57+00:00,shram_stations,Lucknow,Uttar Pradesh,26.85,80.95,27.6,42.0,"{""zone_light"": ""Zone 4"", ""zone_hard"": ""Zone 4"", ""station"": ""Meteorological Centre Amausi""}"
2026-04-24T22:10:57+00:00,shram_stations,Kolkata,West Bengal,22.57,88.36,28.6,84.0,"{""zone_light"": ""Zone 4"", ""zone_hard"": ""Zone 5"", ""station"": ""Science City""}"
2026-04-24T22:10:57+00:00,shram_stations,Mumbai,Maharashtra,19.08,72.88,28.8,100.0,"{""zone_light"": ""Zone 5"", ""zone_hard"": ""Zone 5"", ""station"": ""Mumbai Santa Cruz""}"
2026-04-24T22:10:57+00:00,shram_stations,Chennai,Tamil Nadu,13.08,80.27,27.9,85.0,"{""zone_light"": ""Zone 4"", ""zone_hard"": ""Zone 5"", ""station"": ""Niot Pallikaranai""}"
